state,county,inperson,total_votes,inperson_pct,pre_covid_cases,post_covid_cases,pre_week_diff,num_prec_pc,pop_2018,med_age,medIncome_2018,pctPovty_2018,unplmtRate_2018,noins_u65_2018,pctUrban_2010,pct_vet,avg_householdsize,pct_snap,pctno_hs,pctcollege,popDens,pct_black,pct_hisp,pct_asian,pct65plus,pct4064,pct1840,pctTrump_2016,inperson_1000,turnout,pre_election_rate,post_election_rate,state_pre_rate,state_post_rate,state_inperson_rate,FIPS,temp_oct,temp_nov,polyname
North Carolina,Alamance,16663,32653,0.510305331822497,640,1098,106,23.4324304837896,166436,38.7,50480,13.5,3.7,138,71.4,0.0632435290441972,2.45,0.140780840683506,14.5,24,356.5,0.198941334807373,0.129172775120767,0.0176584392799635,0.13266961474681,0.32249633492754,0.256915571150472,0.552018364518,16.663,0.100116561320868,384.532192554495,659.713042851306,290.833062072765,478.19546555055,0.0862412145282666,37001,61.6,53.5,"north carolina,alamance"
North Carolina,Alexander,3302,5134,0.643163225555123,290,338,54,26.7716113832892,37353,40.8,49138,13,3.2,128,27.2,0.0625652558027468,2.5,0.119428158380853,18.4,14.7,143.1,0.0574251064171553,0.0482156721013038,0.0103338419939496,0.150643857253768,0.334511284234198,0.231574438465451,0.767641996558,3.302,0.0883998607876208,776.376730115386,904.880464755174,290.833062072765,478.19546555055,0.0862412145282666,37003,60.8,52.4,"north carolina,alexander"
North Carolina,Alleghany,1028,1803,0.570160843039379,45,33,-3,62.7183944091031,11161,45.9,39735,18.7,4.5,178,0,0.0816235104381328,2.31,0.152405698414121,23.4,16.7,47.5,0.0155900008959771,0.0993638562852791,0.00833258668578084,0.206433115312248,0.346115939431951,0.203118000179195,0.72669735328,1.028,0.0921064420750829,403.189678344234,295.672430785772,290.833062072765,478.19546555055,0.0862412145282666,37005,55.8,47.6,"north carolina,alleghany"
North Carolina,Anson,3248,4092,0.793743890518084,41,116,-3,36.1779957390361,24877,39.5,38023,20.5,4.5,134,21.5,0.0608996261607107,2.51,0.242271978132411,19.5,9.6,50.7,0.482212485428307,0.043172408248583,0.0147123849338747,0.155404590585682,0.30457852634964,0.233267676970696,0.431017894939,3.248,0.130562366844877,164.810869477831,466.294167303131,290.833062072765,478.19546555055,0.0862412145282666,37007,65.2,57.3,"north carolina,anson"
North Carolina,Ashe,4455,6611,0.6738768718802,96,158,46,77.4650485078756,27109,45.5,41864,16.9,3.6,154,15.1,0.063963997196503,2.29,0.153823453465639,15.8,19,64,0.00741451178575381,0.0518646943819396,0.00560699398723671,0.202921538972297,0.349846914308901,0.213582205171714,0.710714285714,4.455,0.164336567191708,354.125936036003,582.832269725921,290.833062072765,478.19546555055,0.0862412145282666,37009,54.5,45.9,"north carolina,ashe"
North Carolina,Avery,3389,4421,0.766568649626781,147,238,-53,131.391031133962,17505,42.3,41701,16.8,3.6,181,11.2,0.0618680377035133,2.31,0.113339045986861,17.7,20.6,72,0.0441588117680663,0.0519280205655527,0.00554127392173665,0.176920879748643,0.300199942873465,0.201542416452442,0.772456575682,3.389,0.193601828049129,839.760068551842,1359.61153956013,290.833062072765,478.19546555055,0.0862412145282666,37011,54.3,46.5,"north carolina,avery"
North Carolina,Beaufort,5775,8842,0.653132775390183,222,174,4,59.4745003079929,47079,43.8,46411,18.1,4.6,131,34.4,0.075532615391151,2.37,0.209350241084135,12.4,19.4,57.7,0.24348435608233,0.0800569255931519,0.00548015038552221,0.186537522037426,0.333588224048939,0.221563754540241,0.613500572058,5.775,0.122666156885235,471.547823870516,369.591537628242,290.833062072765,478.19546555055,0.0862412145282666,37013,66.4,58.4,"north carolina,beaufort"
North Carolina,Bertie,1915,2730,0.701465201465201,57,102,-23,94.6073793755913,19026,42.9,35433,23.5,4.9,126,16.8,0.0622831914222643,2.39,0.264112267423526,21.3,13.4,30.4,0.607274256280879,0.0223904131188899,0.00793650793650794,0.192158099442868,0.32481866918953,0.20740039945338,0.370575692964,1.915,0.100651739724587,299.590034689372,536.108483128351,290.833062072765,478.19546555055,0.0862412145282666,37015,64.4,56.2,"north carolina,bertie"
North Carolina,Bladen,3241,4644,0.697889750215332,83,147,-27,78.3368484483278,33190,41.3,36976,29.1,5.3,178,8.8,0.0655317866827358,2.4,0.221060560409762,19.9,15.1,40.3,0.33510093401627,0.0775534799638445,0.00349502862307924,0.165140102440494,0.336245857185899,0.233473937933112,0.540621228483,3.241,0.0976498945465502,250.075323892739,442.904489304007,290.833062072765,478.19546555055,0.0862412145282666,37017,67,58.3,"north carolina,bladen"
North Carolina,Brunswick,10342,29171,0.354530184086936,234,473,-28,18.282337799099,136744,47.4,60163,10.5,5.2,137,57,0.108904229801673,2.3,0.106300824899081,9.6,28.6,126.8,0.100179898203943,0.0487333996372784,0.00791990873456971,0.168387644064822,0.339912537295969,0.190582402152928,0.6310311501,10.342,0.0756303750073129,171.122681799567,345.901831158954,290.833062072765,478.19546555055,0.0862412145282666,37019,69.4,60.5,"north carolina,brunswick"
