season,episode,episode_name,imdb_rating,total_votes,air_date,lines_jim,lines_pam,lines_michael,lines_dwight,halloween,valentine,christmas,michael
1,1,Pilot,7.6,3706,2005-03-24,0.1572052401746725,0.17903930131004367,0.3537117903930131,0.12663755458515283,no,no,no,yes
1,2,Diversity Day,8.3,3566,2005-03-29,0.12315270935960591,0.059113300492610835,0.3694581280788177,0.08374384236453201,no,no,no,yes
1,3,Health Care,7.9,2983,2005-04-05,0.1721311475409836,0.13114754098360656,0.22950819672131148,0.2540983606557377,no,no,no,yes
1,4,The Alliance,8.1,2886,2005-04-12,0.20164609053497942,0.09053497942386832,0.27983539094650206,0.1934156378600823,no,no,no,yes
1,5,Basketball,8.4,3179,2005-04-19,0.09130434782608696,0.06086956521739131,0.45217391304347826,0.10869565217391304,no,no,no,yes
1,6,Hot Girl,7.8,2852,2005-04-26,0.15895953757225434,0.13005780346820808,0.3063583815028902,0.08092485549132948,no,no,no,yes
2,1,The Dundies,8.7,3213,2005-09-20,0.125,0.16015625,0.375,0.125,no,no,no,yes
2,2,Sexual Harassment,8.2,2736,2005-09-27,0.05653710247349823,0.09540636042402827,0.35335689045936397,0.038869257950530034,no,no,no,yes
2,3,Office Olympics,8.4,2742,2005-10-04,0.19572953736654805,0.11743772241992882,0.29537366548042704,0.19572953736654805,no,no,no,yes
2,4,The Fire,8.4,2713,2005-10-11,0.15987460815047022,0.06896551724137931,0.21630094043887146,0.20376175548589343,no,no,no,yes
2,5,Halloween,8.2,2561,2005-10-18,0.11152416356877323,0.10037174721189591,0.40148698884758366,0.12267657992565056,yes,no,no,yes
2,6,The Fight,8.2,2550,2005-11-01,0.1828358208955224,0.09328358208955224,0.31716417910447764,0.23880597014925373,no,no,no,yes
2,7,The Client,8.6,2631,2005-11-08,0.15748031496062992,0.12598425196850394,0.2874015748031496,0.08661417322834646,no,no,no,yes
2,8,Performance Review,8.2,2416,2005-11-15,0.09523809523809523,0.10989010989010989,0.3772893772893773,0.15384615384615385,no,no,no,yes
2,9,E-Mail Surveilance,8.4,2527,2005-11-22,0.19272727272727272,0.13818181818181818,0.2909090909090909,0.12363636363636364,no,no,no,yes
2,10,Christmas Party,8.8,2755,2005-12-06,0.09540636042402827,0.06007067137809187,0.30742049469964666,0.14840989399293286,no,no,yes,yes
